TimeStamp,TravelTime,MAC
1683153280,29070,59:5e:13:cf:01:ac
1683153281,29072,00:ba:29:2e:d8:ad
1683153281,29071,6a:44:f4:dc:da:c9
1683153282,29060,63:d9:88:51:b6:a0
1683153283,29061,18:f7:f4:bb:6b:0e
1683153283,29062,62:d6:1e:b7:ad:da
1683153284,29061,6b:08:8b:02:10:b9
1683153285,29063,76:e1:fa:21:99:7b
1683153285,29062,75:b5:54:f7:d7:63
1683153316,29093,54:71:bf:31:b6:97
1683153380,29136,3c:68:16:34:4e:47
1683153360,265,cb:4e:fc:8b:5e:eb
1683153352,29089,f4:4e:fc:8b:5e:eb
1683153359,266,69:45:d7:56:5e:53
1683153358,29093,88:e0:34:5f:23:5d
1683153379,29137,1c:90:ff:47:cd:40
1683153384,259,7a:e7:4d:b8:e8:e0
1683153390,29130,70:ed:9c:71:af:eb
1683153389,29129,8c:4b:14:4e:d0:5a
1683153388,29128,31:fd:11:c1:ce:66
1683153389,29127,75:b1:29:fd:fc:cf
1683153401,261,5a:1f:82:75:dd:8d
1683153423,317,3c:68:16:33:b4:f4
1683153410,295,6b:42:1e:75:3c:23
1683153409,292,50:30:e1:6f:51:be
1683153409,292,39:d9:47:7f:0a:65
1683153421,318,00:25:ca:31:24:4e
1683153422,316,6b:b5:25:63:80:11
1683153423,317,1f:70:a4:a0:4b:56
1683153424,233,e0:46:e5:10:53:19
1683153447,250,fc:4b:bc:7a:d4:85
1683153464,253,6f:c1:d1:f1:32:f4
1683153464,253,4d:b9:d0:4d:a1:0e
1683153465,254,52:e4:01:04:79:f5
1683153465,254,21:6f:13:26:f4:f2
1683153469,266,44:47:83:b9:dc:f0
1683153474,298,72:64:95:a7:4e:a7
1683153469,264,58:a7:43:cd:ca:0c
1683153469,263,f7:f2:6f:ab:32:ad
1683153469,264,56:26:6b:e0:30:4c
1683153482,304,63:77:dd:cf:a2:35
1683153482,302,10:3a:4a:fa:7e:34
1683153493,269,f0:99:19:c3:e4:f3
1683153481,302,c4:33:34:37:36:0c
1683153482,303,e1:18:c1:12:e7:4a
1683153482,303,e2:fc:78:01:3e:b6
1683153484,255,6a:52:bf:b9:3a:35
1683153493,233,6d:d4:b6:01:3d:5c
1683153495,227,2c:02:db:c6:1b:bf
1683153500,244,35:c8:4d:0b:0a:e4
1683153499,232,52:51:84:a8:f2:36
1683153496,241,78:cf:09:8b:5a:0f
1683153499,242,58:73:50:41:7e:82
1683153497,240,50:72:6c:79:b9:49
1683153497,241,72:05:b5:7a:07:25
1683153499,231,79:bd:5b:c5:51:40
1683153499,242,0b:95:1d:aa:12:f8
1683153497,240,49:99:cd:3e:96:9a
1683153500,241,72:7f:ea:5e:87:da
1683153499,231,58:ef:0b:65:7c:d2
1683153509,245,d8:9c:2c:3b:e3:c0
1683153520,245,5d:5d:83:b7:78:3f
1683153519,244,66:c3:2d:ad:58:d5
1683153540,237,71:a2:b4:fc:ff:6c
1683153540,306,77:e5:98:43:a2:ab
1683153540,304,5a:1e:d6:e7:95:79
1683153540,237,47:a0:f5:57:f6:e0
1683153539,236,32:02:de:83:e9:4c
1683153540,237,00:41:fb:9b:f3:df
1683153567,281,3c:68:16:2f:7d:3f
1683153585,277,0c:b2:b7:41:29:c3
1683153569,252,5a:cf:9b:da:3a:da
1683153582,288,00:25:ca:29:95:20
1683153569,252,0c:a2:a2:50:63:91
1683153577,287,5f:d2:e9:e2:5f:c0
1683153579,290,61:a2:de:d2:a5:33
1683153581,274,08:90:ba:03:5a:ab
1683153609,288,7b:86:ba:7d:4f:22
1683153610,289,1f:8d:04:7d:02:f5
1683153603,316,60:87:1e:0a:1d:26
1683153609,321,dd:3f:27:c5:29:43
1683153603,234,1b:d3:79:b7:c9:33
1683153606,289,42:0c:0a:3b:bf:61
1683153609,236,18:be:84:78:78:a0
1683153609,238,47:5d:a1:18:21:24
1683153749,336,46:6f:d3:af:ee:80
1683153630,261,42:b7:0a:db:f1:7b
1683153630,263,5e:26:49:cd:62:0e
1683153633,220,6e:17:8b:1c:c4:8e
1683153659,304,2c:41:a1:22:38:dd
1683153643,271,6f:67:48:a9:df:26
1683153643,272,0f:05:d5:02:35:ee
1683153673,298,3c:68:16:04:8a:b0
1683153659,304,40:7a:31:c7:4b:53
1683153662,239,4c:db:bf:43:68:7d
1683153655,260,55:66:31:0b:44:fa
1683153655,258,61:dc:46:21:ce:53
1683153659,281,c6:16:77:99:49:69
1683153663,308,c8:37:ee:d6:64:53
1683153660,282,6a:1a:c4:35:76:34
1683153659,283,34:81:f4:c5:a8:f6
1683153662,239,28:ba:69:3a:0d:13
1683153666,298,73:38:7e:c5:79:2b
1683153667,303,03:8d:79:e6:d8:e3
1683153705,287,49:a6:54:ad:40:74
1683153680,250,71:ff:39:b9:b2:13
1683153681,251,63:5e:f5:f5:ca:75
1683153682,252,36:e2:33:cf:88:ff
1683153706,291,5e:f7:d0:93:e8:2f
1683153719,298,40:f7:e3:99:fb:51
1683153719,296,10:97:bd:09:4e:12
1683153732,292,00:05:c2:41:68:08
1683153746,227,52:a1:d9:2c:60:f4
1683153761,281,40:91:51:bb:60:26
1683153757,242,44:2f:51:0e:d3:4c
1683153757,242,07:c3:84:50:5a:45
1683153763,259,36:89:34:bc:a4:6c
1683153779,301,6b:6d:3e:08:53:1b
1683153826,300,90:f1:57:28:af:cf
1683153809,301,50:32:5f:7e:1b:56
