TimeStamp,TravelTime,MAC
1683153229,29065,74:58:55:6a:19:a2
1683153223,29059,6a:97:5f:29:d0:22
1683153226,29062,56:55:20:1b:89:f6
1683153228,29062,5c:63:c9:c1:af:b0
1683153243,29074,3a:7f:6f:ad:f8:bb
1683153243,29073,41:44:50:a0:25:bf
1683153257,29063,5a:1b:f9:89:98:e2
1683153281,29102,62:49:25:7a:87:13
1683153257,29063,37:c2:18:a7:3a:e4
1683153315,29117,74:60:00:94:c5:4e
1683153296,29111,10:4e:89:0a:df:21
1683153315,29117,6f:41:93:d5:3b:38
1683153344,29130,40:91:51:9d:16:b6
1683153278,29073,58:c3:f6:be:e4:49
1683153279,29075,4c:69:53:fb:69:8f
1683153279,29078,68:90:ec:cb:04:3d
1683153278,29077,6f:7c:82:40:97:16
1683153278,29077,0e:94:d9:1c:76:a0
1683153278,29077,1f:69:fe:cb:1e:f5
1683153278,29073,5f:57:9c:c5:0c:e5
1683153291,29085,7b:5a:94:9b:b4:2e
1683153343,29103,59:e8:47:08:35:67
1683153291,29057,94:b2:cc:3a:f4:0b
1683153379,279,3c:68:16:07:23:53
1683153426,297,22:27:22:0d:4b:a1
1683153363,247,77:4c:69:6b:31:96
1683153362,246,f4:4e:fd:11:6b:c9
1683153370,247,2c:da:0b:71:41:6d
1683153418,299,c0:22:51:e6:6c:6e
1683153369,245,51:c3:f3:1b:aa:1c
1683153376,255,64:20:a4:dd:11:46
1683153371,250,08:7b:ea:1a:13:de
1683153401,261,44:93:2b:30:6a:3e
1683153397,262,47:04:d2:d7:97:b5
1683153397,262,75:a1:44:4d:13:27
1683153415,271,84:25:3f:b4:86:9b
1683153406,252,2a:ba:da:2c:8a:44
1683153405,251,57:eb:0a:fc:48:81
1683153405,251,50:f7:18:29:35:73
1683153408,249,0c:01:1c:b5:b0:27
1683153408,249,4c:77:2f:55:ff:b5
1683153408,249,dd:28:57:99:a2:bf
1683153408,249,77:f7:d9:81:1a:69
1683153470,299,f7:92:e7:20:6a:f5
1683153521,289,3c:68:16:2d:fe:c4
1683153506,296,44:b7:d0:28:ba:12
1683153506,285,98:5d:ad:20:cd:1b
1683153506,285,78:04:73:08:68:81
1683153486,265,7f:0d:4c:56:11:b7
1683153521,289,47:b1:ed:95:e0:83
1683153498,264,6d:01:d6:72:44:91
1683153498,264,33:47:47:94:77:43
1683153496,257,6f:49:8f:31:51:70
1683153501,242,b4:60:77:dc:4b:b1
1683153506,232,e2:e5:e6:1f:5b:f5
1683153525,245,70:6f:9d:f5:dd:db
1683153525,249,33:2b:1c:d4:93:fa
1683153525,245,1d:a6:c5:7d:c2:9b
1683153525,246,46:2b:ba:ae:60:c8
1683153525,247,42:cd:e9:9b:6e:45
1683153617,295,00:25:ca:44:48:1e
1683153611,282,00:25:52:ee:d5:42
1683153611,290,76:04:e5:83:f7:83
1683153565,255,65:1b:85:4f:d7:96
1683153590,277,5b:a3:9e:18:f3:99
1683153570,251,59:46:28:93:b0:df
1683153612,291,eb:ea:5f:b4:c2:91
1683153625,282,70:25:9b:63:3f:a6
1683153626,284,54:2f:e9:9c:59:43
1683153627,277,5a:36:74:9b:3b:0f
1683153629,286,18:30:6a:39:e2:f5
1683153625,282,1b:21:5c:ae:1f:f0
1683153650,291,c0:e4:34:66:02:ce
1683153667,298,71:89:9b:4a:ee:83
1683153667,298,00:25:52:f0:a5:34
1683153669,300,1d:75:88:21:c4:94
1683153663,305,00:25:ca:3e:54:04
1683153668,299,79:02:8a:e4:f0:7f
1683153621,252,58:80:bb:b4:03:d7
1683153622,253,43:be:28:9a:0f:a9
1683153642,261,6b:03:47:84:81:00
1683153682,292,ff:54:cf:de:a1:94
1683153681,292,66:4e:56:a4:e4:44
1683153628,249,6d:9f:17:fa:16:96
1683153628,249,46:b3:07:ce:d5:c8
1683153680,291,16:a9:0e:c6:cc:9e
1683153628,249,6c:20:c8:cb:24:3e
1683153669,287,2c:11:65:cf:ed:9c
1683153628,250,55:04:13:83:35:b4
1683153646,262,7d:75:85:74:a3:9e
1683153644,260,59:3c:c0:5b:74:9e
1683153661,270,65:47:ce:f7:16:f7
1683153646,256,6c:eb:9a:cc:f0:d6
1683153661,270,18:1f:3d:66:f6:4a
1683153680,291,78:5b:13:ab:03:b0
1683153663,252,3c:79:b2:78:08:38
1683153716,293,14:13:0b:43:35:96
1683153719,290,40:6d:cd:0a:9b:46
1683153749,309,48:43:d3:a9:66:7d
1683153746,296,3c:68:16:01:47:98
1683153755,304,40:42:31:30:b1:1d
1683153728,263,51:e6:12:1f:24:1b
1683153750,284,5c:c9:8c:0f:6f:34
1683153758,269,61:0a:9b:0b:38:ea
1683153776,291,6a:70:29:3f:6d:ab
1683153792,308,00:1d:86:5a:18:37
1683153777,292,5c:c6:24:80:c6:66
1683153778,292,c0:67:49:0d:88:1b
1683153776,290,43:58:eb:72:56:90
1683153756,254,46:0d:1e:d3:87:38
1683153747,238,59:aa:bd:d5:a2:92
1683153755,253,52:fc:b4:e9:00:c2
1683153756,254,0c:b2:b7:75:86:6d
1683153745,242,49:54:e4:95:01:45
1683153745,242,7a:81:88:8b:e4:63
1683153745,242,41:3e:74:dc:41:5f
1683153786,282,4f:a6:f7:55:87:6f
1683153747,238,45:4c:26:c1:9f:da
1683153747,238,64:1a:aa:ca:76:8e
1683153826,307,3c:68:16:30:fa:82
1683153805,294,0f:38:38:c4:1f:f8
1683153807,296,55:d0:d4:1d:0f:90
1683153819,300,0e:c5:f1:94:f6:4c
1683153821,305,00:25:ca:42:70:5c
1683153822,303,e9:0a:0b:a4:2e:2f
1683153757,238,54:c3:90:64:98:98
1683153756,236,1a:22:3c:16:ca:73
1683153785,258,e0:53:2c:73:ce:3f
1683153785,255,64:a0:91:99:58:dd
1683153796,269,d9:39:9c:e2:92:cc
1683153798,247,29:4c:94:e0:f8:b0
1683153785,256,65:00:f0:3d:6b:07
1683153785,254,4c:21:ce:27:f5:6f
1683153786,259,28:8c:ce:8d:4e:cf
1683153795,266,52:2c:5e:49:06:bf
1683153809,246,6c:bf:d5:11:3a:72
1683153806,243,51:44:59:5f:61:5c
1683153806,243,34:81:f4:de:8d:3b
1683153806,243,70:87:3b:de:f1:33
1683153808,244,5c:41:0a:56:0f:54
1683153871,293,c4:a8:28:10:85:29
1683153920,325,00:25:52:fb:17:c6
1683153827,249,46:ed:e1:42:ae:45
1683153927,333,48:b0:2d:28:2f:7d
1683153883,296,80:c5:f2:c1:dc:24
1683153836,253,19:76:cd:0a:9a:2f
1683153819,235,53:48:56:77:18:43
1683153819,235,51:48:d2:5b:62:ad
1683153837,253,25:81:27:88:2b:ee
1683153906,306,00:25:52:d1:25:b3
1683153876,286,0c:ec:80:c6:d5:97
1683153921,328,84:25:3f:b4:b5:2f
1683153924,329,d8:2a:8e:60:fe:2c
1683153923,304,3c:68:16:02:5d:44
1683153857,234,47:7d:72:4c:27:08
1683153857,234,68:e4:48:6c:66:3f
1683153857,232,03:d8:39:36:45:6b
1683153946,314,94:54:93:67:0d:fb
1683153881,238,51:fa:8e:89:dc:3e
1683153881,245,40:09:62:17:a4:10
1683153881,245,7b:5c:2a:4f:9d:ae
1683153882,246,6c:29:7e:7c:98:81
1683153881,242,4d:9a:54:16:af:9c
1683153906,263,4b:a6:72:45:2c:01
1683153957,317,df:d5:c7:56:3c:68
1683153906,264,34:08:e1:99:f7:2d
1683153956,287,69:5a:6c:0d:59:46
1683153910,231,00:25:ca:2f:0e:e0
1683153956,287,79:ac:af:76:78:9c
1683153909,235,c6:78:45:6b:fd:26
1683153909,235,42:7b:81:01:5b:93
1683153909,235,11:f8:f5:88:62:1a
1683154005,305,3c:68:16:22:f8:26
1683154008,309,79:13:a6:3e:db:be
1683154006,307,70:b9:14:cc:c2:a7
1683154001,298,90:f1:57:4d:b3:82
1683153976,276,69:ad:a6:24:16:f5
1683153977,278,67:cb:7a:9d:ed:0d
1683154003,295,4e:00:ca:d1:09:90
1683154003,294,05:b4:94:10:a7:9f
1683154677,952,0e:76:a6:a9:8c:c5
1683153990,244,55:51:67:55:e1:65
1683153990,241,29:53:4e:f7:40:8f
1683153990,244,5c:d6:c1:72:da:cf
1683153990,244,68:1a:56:b5:dc:ce
1683153991,244,37:05:e5:37:67:0c
1683153990,243,7a:55:38:09:2b:1f
1683153990,241,5b:c5:a8:21:f4:0f
1683154059,296,80:c5:f2:83:4b:1c
1683154060,295,04:52:c7:ce:7a:6c
1683154016,247,02:d6:81:94:79:bc
1683154016,247,35:19:14:a3:c0:f0
1683154017,249,5d:13:e9:4a:69:df
1683154016,247,4a:59:09:77:5a:49
1683154071,265,f1:dd:23:7b:fd:34
1683154071,265,4c:2f:2b:9b:87:94
1683154071,264,72:bb:91:5f:e4:e3
1683154061,252,5d:fe:c4:6e:e5:49
1683154061,254,60:64:3c:c1:b7:a0
1683154128,309,42:1f:2c:97:66:c1
1683154071,264,51:fd:36:a6:93:b5
1683154061,253,0a:0b:70:86:4c:ae
1683154113,288,3c:68:16:1e:96:39
1683154113,287,63:2b:0e:f8:23:e5
1683154069,240,7d:76:d6:90:54:f0
1683154273,404,3d:69:6e:da:f8:ce
1683154176,307,7e:c7:66:53:94:bf
1683154132,269,53:e0:bb:6c:11:90
1683154177,305,00:25:52:fb:19:5f
1683154157,284,b4:c2:6a:60:3d:16
1683154159,284,6c:e0:ef:bb:22:10
1683154159,284,32:e5:28:3b:c5:ab
1683154142,243,6b:5a:44:b8:7e:53
1683154207,298,f5:7b:a4:fb:4e:0d
1683154188,248,71:df:c3:6e:0f:4b
1683154188,247,7f:e6:9b:2f:b9:a6
1683154257,306,30:bb:7d:1d:cd:50
1683154201,251,57:f1:e3:6c:78:e3
1683154206,257,77:4a:8e:0a:52:4b
1683154206,256,0a:9f:a3:60:7d:9a
1683154199,250,44:c4:4b:b5:91:76
1683154201,252,23:e1:4b:17:7a:c8
